<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
20190403;190000;95.0000000;95.0000000;95.0000000;95.0000000;100
20190404;140000;94.0000000;94.0000000;94.0000000;94.0000000;200
20190404;170000;88.0000000;92.0000000;88.0000000;92.0000000;200
20190417;110000;110.0000000;117.0000000;94.0000000;117.0000000;2900
20190417;120000;115.0000000;117.0000000;107.0000000;111.0000000;2500
20190417;130000;109.0000000;109.0000000;107.0000000;107.0000000;200
20190417;140000;105.0000000;105.0000000;104.0000000;104.0000000;200
20190417;150000;108.0000000;108.0000000;108.0000000;108.0000000;100
20190417;160000;107.0000000;107.0000000;107.0000000;107.0000000;100
20190417;170000;109.0000000;112.0000000;109.0000000;112.0000000;800
20190417;180000;109.0000000;109.0000000;109.0000000;109.0000000;100
20190417;190000;108.0000000;112.0000000;108.0000000;112.0000000;300
20190418;110000;115.0000000;115.0000000;105.0000000;111.0000000;1800
20190418;120000;109.0000000;109.0000000;100.0000000;105.0000000;1200
20190418;150000;104.0000000;104.0000000;104.0000000;104.0000000;100
20190418;160000;103.0000000;103.0000000;103.0000000;103.0000000;100
20190418;190000;103.0000000;103.0000000;101.0000000;101.0000000;200
20190419;110000;101.0000000;101.0000000;100.0000000;100.0000000;200
20190419;120000;103.0000000;109.0000000;103.0000000;107.0000000;1200
20190419;130000;110.0000000;115.0000000;107.0000000;107.0000000;2700
20190419;140000;107.0000000;107.0000000;104.0000000;106.0000000;400
20190419;180000;109.0000000;113.0000000;103.0000000;103.0000000;1200
20190419;190000;102.0000000;106.0000000;102.0000000;102.0000000;400
20190422;120000;97.0000000;105.0000000;94.0000000;105.0000000;1400
20190422;130000;105.0000000;105.0000000;105.0000000;105.0000000;200
20190422;140000;105.0000000;105.0000000;105.0000000;105.0000000;100
20190422;170000;99.0000000;99.0000000;99.0000000;99.0000000;200
20190422;180000;98.0000000;98.0000000;98.0000000;98.0000000;200
20190422;190000;94.0000000;99.0000000;94.0000000;99.0000000;600
20190423;120000;96.0000000;96.0000000;95.0000000;95.0000000;200
20190423;150000;97.0000000;97.0000000;97.0000000;97.0000000;100
20190423;180000;96.0000000;96.0000000;96.0000000;96.0000000;100
20190423;190000;95.0000000;95.0000000;95.0000000;95.0000000;100
20190424;110000;100.0000000;107.0000000;98.0000000;107.0000000;1200
20190424;120000;105.0000000;106.0000000;105.0000000;106.0000000;500
20190424;130000;106.0000000;106.0000000;106.0000000;106.0000000;100
20190424;140000;105.0000000;105.0000000;101.0000000;101.0000000;200
20190424;150000;100.0000000;100.0000000;97.0000000;97.0000000;600
20190424;180000;98.0000000;98.0000000;96.0000000;96.0000000;400
20190424;190000;96.0000000;96.0000000;96.0000000;96.0000000;300
20190425;110000;106.0000000;113.0000000;101.0000000;102.0000000;1900
20190425;120000;104.0000000;105.0000000;99.0000000;105.0000000;500
20190425;130000;105.0000000;106.0000000;105.0000000;106.0000000;500
20190425;160000;102.0000000;102.0000000;102.0000000;102.0000000;100
20190425;170000;104.0000000;104.0000000;102.0000000;102.0000000;200
20190425;190000;100.0000000;100.0000000;100.0000000;100.0000000;800
20190426;110000;106.0000000;106.0000000;106.0000000;106.0000000;100
20190426;120000;96.0000000;96.0000000;96.0000000;96.0000000;100
20190426;170000;98.0000000;98.0000000;98.0000000;98.0000000;100
20190426;180000;99.0000000;99.0000000;99.0000000;99.0000000;100
20190426;190000;96.0000000;96.0000000;96.0000000;96.0000000;200
20190429;130000;95.0000000;95.0000000;95.0000000;95.0000000;100
20190429;140000;95.0000000;95.0000000;95.0000000;95.0000000;100
20190430;160000;92.0000000;94.0000000;92.0000000;94.0000000;200
20190506;110000;99.5000000;99.5000000;99.5000000;99.5000000;100
20190506;160000;96.0000000;96.0000000;96.0000000;96.0000000;100
20190507;140000;84.5000000;94.0000000;84.5000000;94.0000000;300
20190510;110000;97.0000000;109.5000000;94.0000000;94.0000000;600
20190510;140000;92.5000000;92.5000000;92.5000000;92.5000000;200
20190514;170000;92.5000000;92.5000000;92.5000000;92.5000000;100
20190517;130000;80.0000000;88.5000000;62.0000000;80.5000000;1800
